feature	without_phage	t40_Rif	t90_Rif	t140_Rif	t190_Rif	t40	t90	t140	t190	time_class
g015	0.265689708180442	20748.1936161484	18502.1861406138	14764.0890295684	13617.0882254791	15138.0146579904	15699.0873381671	3953.31523668808	1761.98331611974	early
g057	0.214967127527812	15845.8484515117	21397.6338777987	15200.3316600498	10511.4127169696	5862.75533656525	14544.2101675664	5894.35640811788	1828.11293352731	early
g013	0.328422000389713	10562.6843597126	7520.75925927685	6875.13567372316	5431.22946356589	7297.0822773035	4906.17808367794	1398.2330954808	458.703530117468	early
g092	0.063057024074825	0.440386612103866	31.6540140296921	347.400443708131	1199.06441529689	0.10758470850125	2815.992577552	26092.3955147808	30211.2641033608	late
g114	0.333047662367033	15363.135068377	15007.7922151339	16133.0165681733	19281.7540628098	8702.61798732115	9307.17996332948	2844.1802702043	1400.90918823501	early
g095	0.120644816469691	0.105322053277392	62.4466943442905	408.728110629506	1208.01673534575	0.0686126967482459	3520.31468953449	18668.0604963698	17245.3477698909	middle
g103	1.00622910757699	0.878430742228457	270.518346849496	1611.48536129822	4145.29970645614	0.858388631658906	11732.4643336322	26201.6613529399	18725.741620646	middle
g027	0.31113663194815	26763.8082465311	23387.8736993067	16832.0852072731	15284.3528568548	18105.0200730771	19836.0839225461	6094.74757229465	2422.34681946887	early
g028	0.115348214771021	40194.2740566153	32835.8925616544	23348.9583003517	20862.6447186706	27612.2714411658	28717.5980579691	8684.12023569777	3061.00697171071	early
g066	0.0325259752793114	0.160904668280728	30.659837064523	226.697378334595	681.692914098068	0.0678262146672252	737.540691736598	4484.50873800747	4746.83472417735	middle
g033	0.140752285881306	30489.1545930057	32557.3153328311	27628.7165571049	23164.513458719	14112.328079876	22929.6781613651	8701.64069705354	2657.21832855322	early
g040	0.0370052958185593	21808.6673791422	12277.0349354285	5033.27610864121	4318.64003185952	15355.3810856106	13482.2382494216	2449.51416506742	895.382670306587	early
g084	0.271797517563901	0.237277269452514	3.63839241720599	72.9127055567265	298.904312381002	0.154575730605244	116.597274804985	3791.81459219422	8235.25139118288	late
g088	0.558026761724115	0.304470832483315	22.7211703457967	345.083051337319	1272.70172009538	0.357028899893527	2058.08581403795	59325.2926548372	98828.461725325	late
g110	0.31954573010891	0.278961114086064	44.914479366455	259.891214735336	522.598636821984	0.181730926522381	728.402912656531	1177.50778301237	980.963999259828	middle
g054	0.0410527500487142	32537.3957158768	36765.8716802076	31618.144696185	26551.1327439112	12164.4731788259	24781.6717236161	10088.3452259599	3174.99460352323	early
g052	0.165359328867548	26357.9471364141	37618.1025006012	33387.1691089896	29025.0201615455	8813.20013740787	22228.1593987126	9756.99122488113	3008.81052521551	early
g060	0.173870470794554	15803.6763186184	18543.2007187174	12699.8311634951	9227.72188034732	6481.08874016305	14424.9979043452	4867.33225400252	1480.56491335501	early
g025	0.0844513715287835	14882.9540265749	13015.6406854589	7962.87901931222	6839.65256135568	10076.3645866719	10860.6758362051	2326.48900538809	852.450290842132	early
g006	0.236463840280594	11957.7351059665	10376.4495823833	7095.42393684246	8016.39169941067	8589.56312673976	8092.74682947236	1586.54434250765	1041.75778141263	early
g017	0.181895261754303	10773.1692229236	8373.70417293162	8382.46795653944	7249.62018419113	6348.01503574921	6091.47026061211	1811.65216027601	660.644022751648	early
g045	0.254262193850101	11960.5807492967	12308.7597924061	8238.5456444615	6086.02975001838	5567.50866493966	8558.35874549895	2846.55771486195	953.46235954548	early
g050	0.147329495501928	32426.4225206093	44915.5010081752	40832.333493888	34923.3138443609	11193.7113238864	25923.1724739594	12337.3377664726	3520.31512188425	early
